service_id,date,exception_type
12403,20181126,1
12603,20181126,1
12403,20181127,1
12603,20181127,1
12403,20181128,1
12603,20181128,1
12403,20181129,1
12603,20181129,1
12403,20181130,1
12603,20181130,1
6302,20181202,1
12403,20181203,1
12603,20181203,1
12403,20181204,1
12603,20181204,1
12403,20181205,1
12603,20181205,1
12403,20181206,1
12603,20181206,1
12403,20181207,1
12603,20181207,1
6302,20181209,1
12403,20181210,1
12603,20181210,1
12403,20181211,1
12603,20181211,1
12403,20181212,1
12603,20181212,1
12403,20181213,1
12603,20181213,1
12403,20181214,1
12603,20181214,1
6302,20181216,1
12403,20181217,1
12603,20181217,1
12403,20181218,1
12603,20181218,1
12403,20181219,1
12603,20181219,1
12403,20181220,1
12603,20181220,1
12403,20181221,1
12603,20181221,1
6302,20181223,1
12403,20181224,1
12703,20181224,1
2,20181225,1
3,20181225,2
6902,20181226,1
2,20181226,1
3,20181226,2
12403,20181227,1
12703,20181227,1
12403,20181228,1
12703,20181228,1
6302,20181230,1
12503,20181231,1
12903,20181231,1
2,20190101,1
3,20190101,2
12403,20190102,1
12703,20190102,1
12403,20190103,1
12603,20190103,1
12403,20190104,1
12603,20190104,1
6302,20190106,1
12403,20190107,1
12603,20190107,1
12403,20190108,1
12603,20190108,1
12403,20190109,1
12603,20190109,1
12403,20190110,1
12603,20190110,1
12403,20190111,1
12603,20190111,1
6302,20190113,1
12403,20190114,1
12603,20190114,1
12403,20190115,1
12603,20190115,1
12403,20190116,1
12603,20190116,1
12403,20190117,1
12603,20190117,1
12403,20190118,1
12603,20190118,1
6302,20190120,1
12403,20190121,1
12603,20190121,1
12403,20190122,1
12603,20190122,1
12403,20190123,1
12603,20190123,1
12403,20190124,1
12603,20190124,1
12403,20190125,1
12603,20190125,1
6302,20190127,1
12403,20190128,1
12603,20190128,1
12403,20190129,1
12603,20190129,1
12403,20190130,1
12603,20190130,1
12403,20190131,1
12603,20190131,1
12403,20190201,1
12603,20190201,1
6302,20190203,1
12403,20190204,1
12603,20190204,1
12403,20190205,1
12603,20190205,1
12403,20190206,1
12603,20190206,1
12403,20190207,1
12603,20190207,1
12403,20190208,1
12603,20190208,1
6302,20190210,1
12403,20190211,1
12603,20190211,1
12403,20190212,1
12603,20190212,1
12403,20190213,1
12603,20190213,1
12403,20190214,1
12603,20190214,1
12403,20190215,1
12603,20190215,1
6302,20190217,1
