record_index,timestamp,time_taken,cpu_usage,memory_usage,memory_free
0,1544448359.8780131,0.0028791427612304688,0.0,0.3143196105957031,5.274635314941406
1000,1544448360.8380945,0.9597647190093994,48.1,0.3157920837402344,5.273216247558594
2000,1544448361.8660247,1.0275506973266602,48.2,0.31685638427734375,5.272151947021484
3000,1544448362.8887439,1.022240400314331,49.5,0.31732940673828125,5.271678924560547
4000,1544448363.8759022,0.9866383075714111,49.2,0.31756591796875,5.271442413330078
5000,1544448364.836393,0.9600913524627686,49.5,0.31922149658203125,5.269786834716797
6000,1544448365.8302023,0.9932925701141357,49.5,0.31922149658203125,5.269786834716797
7000,1544448366.8020866,0.9713623523712158,48.1,0.32016754150390625,5.268840789794922
8000,1544448367.7841728,0.9814698696136475,48.1,0.3212318420410156,5.2677764892578125
9000,1544448368.7414591,0.9567761421203613,50.0,0.3217048645019531,5.267303466796875
10000,1544448369.6672397,0.9252045154571533,49.4,0.32347869873046875,5.265529632568359
11000,1544448370.6259031,0.9580142498016357,49.7,0.32442474365234375,5.264583587646484
12000,1544448371.6151178,0.9886715412139893,50.3,0.3252525329589844,5.263755798339844
13000,1544448372.5723066,0.9568054676055908,49.7,0.32584381103515625,5.263164520263672
14000,1544448373.5457566,0.9729113578796387,49.2,0.32820892333984375,5.260799407958984
15000,1544448374.4931967,0.9469814300537109,47.7,0.3282012939453125,5.260799407958984
16000,1544448375.4729826,0.9793086051940918,49.5,0.32891082763671875,5.260089874267578
17000,1544448376.4452171,0.9717855453491211,49.7,0.32985687255859375,5.259143829345703
18000,1544448377.440519,0.9946825504302979,48.9,0.32985687255859375,5.259143829345703
19000,1544448378.4199135,0.9788546562194824,49.2,0.3318672180175781,5.257133483886719
20000,1544448379.3771362,0.9568076133728027,49.7,0.33222198486328125,5.256778717041016
21000,1544448380.351935,0.9744007587432861,48.6,0.3329315185546875,5.256069183349609
22000,1544448381.3760989,1.0237650871276855,49.0,0.3337593078613281,5.255241394042969
23000,1544448382.409003,1.0324678421020508,50.5,0.33605194091796875,5.252948760986328
24000,1544448383.3729937,0.9636085033416748,48.9,0.3370704650878906,5.251930236816406
25000,1544448384.2998967,0.9265227317810059,49.4,0.3377799987792969,5.251220703125
26000,1544448385.2326727,0.9323618412017822,49.4,0.3377799987792969,5.251220703125
27000,1544448386.2117205,0.9786186218261719,50.0,0.33884429931640625,5.250156402587891
28000,1544448387.1942298,0.982062578201294,48.4,0.34073638916015625,5.248264312744141
29000,1544448388.1673353,0.9724917411804199,49.5,0.34073638916015625,5.248264312744141
30000,1544448389.1283863,0.9605345726013184,48.9,0.3418006896972656,5.247200012207031
31000,1544448390.1094866,0.9805715084075928,49.2,0.3427467346191406,5.246253967285156
32000,1544448391.0740128,0.9639239311218262,50.5,0.34357452392578125,5.245426177978516
33000,1544448392.0693336,0.994633674621582,49.7,0.34452056884765625,5.244480133056641
34000,1544448393.0372555,0.9674031734466553,50.0,0.34452056884765625,5.244480133056641
35000,1544448393.9992838,0.9614009857177734,49.5,0.3458213806152344,5.2431793212890625
36000,1544448394.9573033,0.9574439525604248,49.5,0.34783172607421875,5.241168975830078
37000,1544448395.9456341,0.9878733158111572,49.5,0.34783172607421875,5.241168975830078
38000,1544448396.8972945,0.9511656761169434,50.0,0.3486595153808594,5.2403411865234375
39000,1544448397.8712158,0.9733660221099854,48.4,0.3496055603027344,5.2393951416015625
40000,1544448398.830487,0.9587485790252686,48.6,0.3499603271484375,5.239040374755859
41000,1544448399.7819614,0.9509429931640625,50.0,0.3514976501464844,5.2375030517578125
42000,1544448400.735924,0.9533655643463135,50.0,0.35256195068359375,5.236438751220703
43000,1544448401.732341,0.9959087371826172,50.5,0.35303497314453125,5.235965728759766
44000,1544448402.7579143,1.0250680446624756,50.0,0.3538627624511719,5.235137939453125
45000,1544448403.743401,0.9847598075866699,55.2,0.3578338623046875,5.231166839599609
46000,1544448404.738119,0.9941051006317139,50.5,0.35782623291015625,5.231174468994141
47000,1544448405.6820824,0.9434852600097656,50.8,0.35877227783203125,5.230228424072266
48000,1544448406.6177692,0.935006856918335,50.8,0.35877227783203125,5.230228424072266
49000,1544448407.5950332,0.9767599105834961,50.5,0.35924530029296875,5.229755401611328
50000,1544448408.535305,0.9398708343505859,50.0,0.3612556457519531,5.227745056152344
